oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
penthouse en renta con roof garden privado,39000.0,240.0,2.0,2.0,19.431105,-99.1614154,easyaviso,2025-05-07 12:28:03.532203,162.5
departamento en venta en colonia san rafael,50000.0,90.0,,2.0,19.4355443127,-99.1621249854,easyaviso,2025-05-07 12:28:03.532203,555.5555555555555
departamento en renta en colonia san rafael,23000.0,116.0,2.0,3.0,19.4348795,-99.1601354,easyaviso,2025-05-07 12:28:03.532203,198.27586206896552
depto en renta 1 recamara 1.5 banos roof garden col. cuauhtemoc,33100.0,74.0,,,19.3462483,-99.1707632,easyaviso,2025-05-07 12:28:03.532203,447.2972972972973
moderno loft con terraza cerca del angel de la independencia,30000.0,134.0,,,19.431741,-99.1652276,easyaviso,2025-05-07 12:28:03.532203,223.88059701492537
departamento en rio panuco 118 cuauhtemoc,15000.0,50.0,,,19.4299652,-99.1688363,easyaviso,2025-05-07 12:28:03.532203,300.0
renta departamento en reforma,21000.0,45.0,,,19.4296111,-99.163245,easyaviso,2025-05-07 12:28:03.532203,466.6666666666667
depto en renta en rio poo col. cuauhtemoc,33000.0,85.0,2.0,2.0,19.4260615,-99.175263,easyaviso,2025-05-07 12:28:03.532203,388.2352941176471
departamento en renta en la torre del hotel ritz carlton en reforma,117528.0,98.0,2.0,,19.4237735,-99.1753165,easyaviso,2025-05-07 12:28:03.532203,1199.265306122449
departamento en renta a una calle del angel de la independencia.,41200.0,100.0,2.0,2.0,19.4270245,-99.1676647,easyaviso,2025-05-07 12:28:03.532203,412.0
departamento en renta. veronica anzures miguel hidalgo lc328,26000.0,81.0,,2.0,19.4373402,-99.180431,easyaviso,2025-05-07 12:28:03.532203,320.98765432098764
departamento en renta en cuauhtemoc  residencias st regis,65000.0,127.0,,,19.4256427,-99.172342,easyaviso,2025-05-07 12:28:03.532203,511.81102362204723
renta,26500.0,50.0,,,19.4382903,-99.1780304,easyaviso,2025-05-07 12:28:03.532203,530.0
renta departmento en veronica anzures con amenidades,23000.0,90.0,2.0,2.0,19.4343829,-99.1767556,easyaviso,2025-05-07 12:28:03.532203,255.55555555555554
renta departamento cuauhtemoc amueblado,31000.0,44.0,,,19.4313622,-99.1691016,easyaviso,2025-05-07 12:28:03.532203,704.5454545454545
renta departamento cuahutemoc amueblado,44000.0,74.0,2.0,2.0,19.4313622,-99.1691016,easyaviso,2025-05-07 12:28:03.532203,594.5945945945946
departamento en renta  cuauhtemoc,28000.0,80.0,,2.0,19.4305058,-99.1678621,easyaviso,2025-05-07 12:28:03.532203,350.0
departamento en renta san rafael cuauhtemoc,16000.0,50.0,,,19.440858,-99.161761,easyaviso,2025-05-07 12:28:03.532203,320.0
departamentos en renta. col. renacimiento cuauhtemoc ao189,22000.0,45.0,,,19.425064,-99.1719251,easyaviso,2025-05-07 12:28:03.532203,488.8888888888889
renta de departamento en cuauhtemoc tabacalera  jb335,25000.0,60.0,,,19.4286386,-99.1718367,easyaviso,2025-05-07 12:28:03.532203,416.6666666666667
renta amplio departamento en parques plaza colonia anahuac,29000.0,87.0,2.0,2.0,19.4386432,-99.1782273,easyaviso,2025-05-07 12:28:03.532203,333.3333333333333
renta loft  parque polanco,21000.0,45.0,,,19.4394957,-99.1825836,easyaviso,2025-05-07 12:28:03.532203,466.6666666666667
departamento en renta a unos pasos de reforma,32000.0,75.0,2.0,2.0,19.4307978,-99.1648059,easyaviso,2025-05-07 12:28:03.532203,426.6666666666667
departamento renta col. cuauhtemoc excelente ubicacion,27000.0,92.0,2.0,2.0,19.4311136,-99.1606185,easyaviso,2025-05-07 12:28:03.532203,293.4782608695652
departamento en renta en paseo de la reforma st regis 1801,215468.0,271.0,3.0,3.0,19.4252897,-99.17226,easyaviso,2025-05-07 12:28:03.532203,795.0848708487085
parques polanco loft amueblado en renta,21000.0,46.0,,,19.4398618,-99.1848335,easyaviso,2025-05-07 12:28:03.532203,456.5217391304348
renta departamento  be grand alto polanco  mariano escobedo  anahuac,30000.0,98.0,2.0,2.0,19.4441731,-99.1829066,easyaviso,2025-05-07 12:28:03.532203,306.1224489795918
departamento semiamueblado en renta be grand reforma,36000.0,85.0,2.0,2.0,19.434631,-99.1535239,easyaviso,2025-05-07 12:28:03.532203,423.52941176470586
depa en parques polanco 2 pisos en venta y renta,36500.0,120.0,2.0,2.0,19.4404402,-99.1851841,easyaviso,2025-05-07 12:28:03.532203,304.1666666666667
depa en renta cuauhtemoc  reforma a media cuadra,32000.0,105.0,2.0,2.0,19.4311072,-99.1614877,easyaviso,2025-05-07 12:28:03.532203,304.76190476190476
departamento en renta en col. cuauhtemoc con o sin muebles,25900.0,80.0,,,19.4321889,-99.1656266,easyaviso,2025-05-07 12:28:03.532203,323.75
departamento en renta  en marina nacional,20000.0,76.0,2.0,2.0,19.4395477,-99.1772318,easyaviso,2025-05-07 12:28:03.532203,263.1578947368421
departamento en renta en hares cdmx,35000.0,96.0,2.0,2.0,19.4366228,-99.179453,easyaviso,2025-05-07 12:28:03.532203,364.5833333333333
departamento renta en ritz carlton reforma cuauhtemco,293820.0,280.0,2.0,2.0,19.4240425,-99.1757592,easyaviso,2025-05-07 12:28:03.532203,1049.357142857143
departamento en venta o renta en ritz carlton residences reforma cuauhtemoc,55000.0,63.0,,,19.4240425,-99.1757592,easyaviso,2025-05-07 12:28:03.532203,873.015873015873
departamento en renta  frente al angel de la independencia reforma,120000.0,460.0,4.0,3.0,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,260.8695652173913
departamento amplio y amueblado cuauhtemoc 120 m2,27000.0,120.0,2.0,3.0,19.4326933,-99.1634519,easyaviso,2025-05-07 12:28:03.532203,225.0
departamento en renta rio panuco,35000.0,80.0,2.0,2.0,19.4298854,-99.1691796,easyaviso,2025-05-07 12:28:03.532203,437.5
se renta departamento en paseo de la reforma cuauhtemoc. ch30,75000.0,170.0,2.0,,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,441.1764705882353
rento departamento en alcaldia cuauhtemoc cdmx,43000.0,90.0,2.0,2.0,19.4317498,-99.1652508,easyaviso,2025-05-07 12:28:03.532203,477.77777777777777
rento departamento en alcaldia cuauhtemoc cdmx,34000.0,90.0,2.0,2.0,19.4347498,-99.1622508,easyaviso,2025-05-07 12:28:03.532203,377.77777777777777
renta departamento  be grand alto polanco t3 3rec2b 2ebalc,55000.0,111.0,2.0,3.0,19.4407819,-99.1815557,easyaviso,2025-05-07 12:28:03.532203,495.4954954954955
departamento en renta en cuauhtemoc jh138,28000.0,83.0,,,19.3191980044,-99.2447106024,easyaviso,2025-05-07 12:28:03.532203,337.34939759036143
hermoso ph en renta con roof garden privado,39000.0,200.0,2.0,2.0,19.431105,-99.1614154,easyaviso,2025-05-07 12:28:03.532203,195.0
renta departamento col. san rafael,23000.0,85.0,,2.0,19.4406502,-99.1654783,easyaviso,2025-05-07 12:28:03.532203,270.5882352941176
departamento amoblado en renta en colonia cuauhtemoc,36000.0,120.0,2.0,2.0,19.4264659,-99.1734568,easyaviso,2025-05-07 12:28:03.532203,300.0
departamento en rio neva pj214,38000.0,110.0,2.0,2.0,19.4154843,-99.1542392,easyaviso,2025-05-07 12:28:03.532203,345.45454545454544
ciudad de mexico  cuauhtemoc  en renta  departamento  1 recamara,26500.0,83.0,,,19.4326932,-99.1619465,easyaviso,2025-05-07 12:28:03.532203,319.27710843373495
renta departamento colonia cuauhtemoc amueblado y equipado,54000.0,96.0,2.0,2.0,19.4343378,-99.1653083,easyaviso,2025-05-07 12:28:03.532203,562.5
renta departamento colonia cuauhtemoc amueblado y equipado,49000.0,74.0,2.0,2.0,19.4298484,-99.1691571,easyaviso,2025-05-07 12:28:03.532203,662.1621621621622
renta departamento colonia cuauhtemoc amueblado y equipado,39000.0,44.0,,,19.4298484,-99.1691571,easyaviso,2025-05-07 12:28:03.532203,886.3636363636364
departamento amueblado en be grand alto polanco  linda vista,24000.0,60.0,,,19.4395976,-99.1825289,easyaviso,2025-05-07 12:28:03.532203,400.0
exclusivo departamento exterior en excelente ubicacion,42000.0,173.0,3.0,3.0,19.4296572,-99.1705995,easyaviso,2025-05-07 12:28:03.532203,242.77456647398844
renta departamento en be grand alto polanco.,29500.0,96.0,2.0,2.0,19.4398600474,-99.183370178,easyaviso,2025-05-07 12:28:03.532203,307.2916666666667
renta departamento ph en edificio de estilo art deco.,34900.0,132.0,2.0,,19.4281566,-99.1740835,easyaviso,2025-05-07 12:28:03.532203,264.3939393939394
excelente departamento en renta amueblado,16500.0,55.0,,,19.4289499,-99.1711628,easyaviso,2025-05-07 12:28:03.532203,300.0
excelente departamento en renta en cuauhtemoc,16500.0,55.0,,,19.4303948184,-99.171888849,easyaviso,2025-05-07 12:28:03.532203,300.0
departamento amueblado en renta cuauhtemoc rio panuco,35000.0,110.0,2.0,3.0,19.429799547,-99.1693590433,easyaviso,2025-05-07 12:28:03.532203,318.1818181818182
departamento renta cuauhtemoc,28000.0,103.0,2.0,2.0,19.4319761,-99.1654727,easyaviso,2025-05-07 12:28:03.532203,271.84466019417476
vive el lujo y confort de st regis mexico city,75000.0,,,,19.4252897,-99.17226,easyaviso,2025-05-07 12:28:03.532203,
departamento renta napoles,34000.0,180.0,2.0,2.0,19.4255998,-99.1331588,easyaviso,2025-05-07 12:28:03.532203,188.88888888888889
departamento amueblado en renta colonia cuauhtemoc. jb328,35000.0,107.0,2.0,3.0,19.3191980044,-99.2447106024,easyaviso,2025-05-07 12:28:03.532203,327.10280373831773
renta  departamento en  colonia cuauhtemoc sin muebles,35000.0,74.0,2.0,2.0,19.4308928,-99.1682113,easyaviso,2025-05-07 12:28:03.532203,472.97297297297297
departamento renta en col. cuauhtemoc  35m2,16000.0,35.0,,,19.4286776,-99.1693142,easyaviso,2025-05-07 12:28:03.532203,457.14285714285717
