Unnamed: 0,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT,DEMARCACIO,Unnamed: 14,Unnamed: 15,Unnamed: 16
166,renta loft con terraza en san rafael,9500.0,40.0,,,easyaviso,28:03.5,237.5,19.4387443,-99.1661061,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149383.10937746)
3,departamento en rio panuco 118 cuauhtemoc,15000.0,50.0,,,easyaviso,28:03.5,300.0,19.4299652,-99.1688363,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148411.95080988)
49,departamento en renta colonia cuauhtemoc  jb267,15000.0,60.0,,,easyaviso,28:03.5,250.0,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
40,departamento renta en col. cuauhtemoc  35m2,16000.0,35.0,,,easyaviso,28:03.5,457.1428571,19.4286776,-99.1693142,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148269.52280285)
160,departamento en renta san rafael cuauhtemoc,16000.0,50.0,,,easyaviso,28:03.5,320.0,19.440858,-99.161761,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149616.56325577)
173,departamento en renta. veronica anzures  jb250,16500.0,30.0,,,easyaviso,28:03.5,550.0,19.436516,-99.1739857,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149137.35720501)
35,excelente departamento en renta en cuauhtemoc,16500.0,55.0,,,easyaviso,28:03.5,300.0,19.43039482,-99.17188885,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148459.80649364)
34,excelente departamento en renta amueblado,16500.0,55.0,,,easyaviso,28:03.5,300.0,19.4289499,-99.1711628,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148299.84550812)
70,ph amoblado con terraza privada en reforma  60m2,17400.0,60.0,,,easyaviso,28:03.5,290.0,19.4269984,-99.1701674,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148083.80198322)
169,se renta departamento totalmente amueblado a 2 cuadras de ejercito nacional,17500.0,69.0,,,easyaviso,28:03.5,253.6231884,19.4358671,-99.1741661,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149065.5733226)
168,renta departamento completamente amueblado en cdmx a 5 min de polanco,17500.0,52.0,,,easyaviso,28:03.5,336.5384615,19.4358671,-99.1741661,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149065.5733226)
