,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,latitud,longitud,UT,CVEUT
1,en venta terreno en rio grijalva cuautemoc,26550000,286,NA,NA,easyaviso,26:37.7,19.4331892,-99.1705085,CUAUHTEMOC,15-009
2,4 predios en venta para gran desarrollo,1.10E+08,823,NA,NA,easyaviso,26:37.7,19.4307936,-99.1706647,CUAUHTEMOC,15-009
3,insurgentes,1.00E+08,785.44,NA,NA,easyaviso,26:37.7,19.4304741,-99.1609887,CUAUHTEMOC,15-009
4,terreno en venta colonia cuauhtemoc,1.80E+07,265,NA,NA,easyaviso,26:37.7,19.4301468,-99.1685066,CUAUHTEMOC,15-009
5,atencion desarrolladores oportunidad  colonia cuauhtemoc  terreno,54500000,700,NA,NA,easyaviso,26:37.7,19.4325851,-99.1680346,CUAUHTEMOC,15-009
6,terreno en venta en cuauhtemoc,1.80E+07,265,NA,NA,easyaviso,26:37.7,19.4291468,-99.1695066,CUAUHTEMOC,15-009
7,cuahtemoc terreno en venta oportunidad  desarrolladores,54500000,700,NA,NA,easyaviso,26:37.7,19.4325851,-99.1680346,CUAUHTEMOC,15-009
8,terreno en venta col. cuauhtemoc,17500000,223,NA,NA,easyaviso,26:37.7,19.4279741,-99.1724393,CUAUHTEMOC,15-009
9,terreno para desarrollar edificio en reforma,974560000,600,NA,NA,easyaviso,26:37.7,19.4257263,-99.171773,CUAUHTEMOC,15-009
10,cuauhtemoc terreno en venta cuauhtemoc ciudad de mexico,3.70E+07,439,NA,NA,easyaviso,26:37.7,19.4301322,-99.1691413,CUAUHTEMOC,15-009
11,oportunidad unica de terreno en la colonia cuauhtemoc cdmx,17500000,252,NA,NA,easyaviso,26:37.7,19.4279741,-99.1724393,CUAUHTEMOC,15-009
12,terreno en  venta colonia san rafael cuauhtemoc,2.50E+07,635,NA,NA,easyaviso,26:37.7,19.4371305,-99.1620879,SAN RAFAEL II,15-074
13,terreno en venta en san rafael,24900000,635,NA,NA,easyaviso,26:37.7,19.438422,-99.163729,SAN RAFAEL II,15-074
14,terreno en venta san rafael,2.90E+07,730,NA,NA,easyaviso,26:37.7,19.4393873,-99.1650162,SAN RAFAEL II,15-074
