oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
departamento en venta en la cuauhtemoc  rio nilo,5600000.0,90.0,2.0,2.0,19.4306355,-99.1727677,easyaviso,2025-05-09 13:25:53.299823,62222.22222222222
se vende departamento para remodelacion,2000000.0,54.0,,,19.4260563,-99.1746597,easyaviso,2025-05-09 13:25:53.299823,37037.03703703704
lindo departamento  5 recamaras  veronica anzures,8900000.0,186.45,3.0,5.0,19.4358238,-99.1738385,easyaviso,2025-05-09 13:25:53.299823,47733.97693751677
departamento en venta 2 recamaras colonia cuauhtemoc cdmx,5100000.0,77.4,2.0,2.0,19.4298408,-99.164915,easyaviso,2025-05-09 13:25:53.299823,65891.47286821705
rio grijalva,7142500.0,70.1,2.0,2.0,19.4335862,-99.1698593,easyaviso,2025-05-09 13:25:53.299823,101890.1569186876
departamento en venta en colonia cuauhtemoc 4940000,4940000.0,81.0,,2.0,19.4260312701,-99.1754196833,easyaviso,2025-05-09 13:25:53.299823,60987.654320987655
departamento en venta en colonia cuauhtemoc 6690000,6690000.0,111.0,,2.0,19.4260515063,-99.1754840563,easyaviso,2025-05-09 13:25:53.299823,60270.27027027027
departamento en la san rafael cuauhtemoc,4200000.0,129.0,,2.0,19.4381862821,-99.1626054796,easyaviso,2025-05-09 13:25:53.299823,32558.13953488372
departamento en venta en anzures,10115000.0,123.0,2.0,2.0,19.4337133,-99.1727421,easyaviso,2025-05-09 13:25:53.299823,82235.77235772357
unica oportunidad de inversion   en be grand polanco,10900000.0,160.0,3.0,3.0,19.4401566,-99.1829788,easyaviso,2025-05-09 13:25:53.299823,68125.0
moderno loft con terraza cerca del angel de la independencia,7500000.0,134.0,,,19.431741,-99.1652276,easyaviso,2025-05-09 13:25:53.299823,55970.149253731346
venta departamento amoblado a un paso de reforma. col cuahutemoc,5100000.0,93.0,,,19.4253891,-99.1743424,easyaviso,2025-05-09 13:25:53.299823,54838.709677419356
se vende penthouse en rio danubio cuauhtemoc.,8400000.0,180.0,,2.0,19.430845625,-99.1680309683,easyaviso,2025-05-09 13:25:53.299823,46666.666666666664
preventa departamentos desarrollo maxica insurgentes,2400000.0,28.0,,,19.4397772,-99.155771,easyaviso,2025-05-09 13:25:53.299823,85714.28571428571
depto en pre venta guadalquivir colonia cuauhtemoc  cdmx,6000000.0,70.1,2.0,2.0,19.4278019086,-99.17275306,easyaviso,2025-05-09 13:25:53.299823,85592.0114122682
venta departamento hares  av. ejercito nacional js,7350000.0,100.93,2.0,2.0,19.4363338521,-99.1794197945,easyaviso,2025-05-09 13:25:53.299823,72822.74843951254
departamento en venta en el corazon de la colonia san rafael,2900000.0,55.0,,2.0,19.4407762,-99.1600762,easyaviso,2025-05-09 13:25:53.299823,52727.27272727273
venta departamento ph en cuauhtemoc,11000000.0,170.0,2.0,2.0,19.4286386,-99.1718367,easyaviso,2025-05-09 13:25:53.299823,64705.882352941175
venta departamentos san rafael altamirano 39,3241695.0,59.0,,2.0,19.4402445,-99.1621588,easyaviso,2025-05-09 13:25:53.299823,54943.983050847455
venta departamento en veronica anzures,4550000.0,60.0,2.0,,19.4381594986,-99.1728272601,easyaviso,2025-05-09 13:25:53.299823,75833.33333333333
departamento en venta en san rafael cuauhtemoc.,5865146.0,110.0,2.0,2.0,19.4389929,-99.1635993,easyaviso,2025-05-09 13:25:53.299823,53319.509090909094
departamento en venta ritz carlton reforma,17540130.88,55.0,,,19.4263694,-99.1694647,easyaviso,2025-05-09 13:25:53.299823,318911.47054545453
oportunidad unica  en la cuauhtemoc b,4700000.0,95.0,2.0,2.0,19.4310585,-99.1726639,easyaviso,2025-05-09 13:25:53.299823,49473.68421052631
departamento en venta reforma cuauhtemoc   fm273,7000000.0,77.0,,,19.4301322,-99.1691413,easyaviso,2025-05-09 13:25:53.299823,90909.09090909091
venta de departamento en cuauhtemoc zp141,5999999.0,100.0,2.0,3.0,19.4275011049,-99.169286684,easyaviso,2025-05-09 13:25:53.299823,59999.99
departamento en venta,5400000.0,67.0,2.0,2.0,19.4306451,-99.172753,easyaviso,2025-05-09 13:25:53.299823,80597.01492537314
departamento en venta all vista col. san rafael,3645000.0,61.0,2.0,2.0,19.4395191,-99.1673955,easyaviso,2025-05-09 13:25:53.299823,59754.098360655735
departamento en venta en san rafael,3097938.0,39.0,,,19.4378073,-99.1615231,easyaviso,2025-05-09 13:25:53.299823,79434.30769230769
departamento en venta  paseo de la reforma,17500000.0,200.0,2.0,3.0,19.4269334094,-99.1676600366,easyaviso,2025-05-09 13:25:53.299823,87500.0
depa balcon san rafael venta,7100000.0,95.0,2.0,2.0,19.4364755,-99.1583026,easyaviso,2025-05-09 13:25:53.299823,74736.84210526316
vendo departamento en san rafael,4450000.0,115.0,2.0,2.0,19.4375163,-99.163582,easyaviso,2025-05-09 13:25:53.299823,38695.65217391304
departamento en venta insurgentes,8801947.0,97.0,2.0,2.0,19.4324741,-99.1589887,easyaviso,2025-05-09 13:25:53.299823,90741.72164948453
loft en venta en insurgentes,3257512.0,32.31,,,19.4324741,-99.1589887,easyaviso,2025-05-09 13:25:53.299823,100820.55091303002
tu hogar en cuauhtemoc,5500000.0,70.0,2.0,2.0,19.4278779,-99.1730229,easyaviso,2025-05-09 13:25:53.299823,78571.42857142857
tu hogar en la cuauhtemoc,5000000.0,68.0,2.0,2.0,19.4301322,-99.1691413,easyaviso,2025-05-09 13:25:53.299823,73529.41176470589
departamento en venta en rio elba a unos pasos del angel de la independencia,4700000.0,100.0,,2.0,19.4254137,-99.1749721,easyaviso,2025-05-09 13:25:53.299823,47000.0
departamento entrega inmediata en san rafael en venta,5866000.0,110.0,2.0,2.0,19.4373442,-99.1642038,easyaviso,2025-05-09 13:25:53.299823,53327.27272727273
departamento entrega inmediata en san rafael en venta,6080500.0,97.0,2.0,2.0,19.4373442,-99.1642038,easyaviso,2025-05-09 13:25:53.299823,62685.56701030928
departamento de lujo  oportunidad,6400000.0,75.0,2.0,2.0,19.432758,-99.1697432,easyaviso,2025-05-09 13:25:53.299823,85333.33333333333
departamento en renta en parques polanco amueblado lindo,4250000.0,56.0,,,19.440953,-99.18503,easyaviso,2025-05-09 13:25:53.299823,75892.85714285714
ph en lazaro cardenas en venta,3520000.0,92.69,2.0,2.0,19.4300874,-99.1416877,easyaviso,2025-05-09 13:25:53.299823,37976.04919624555
junto a  polanco  departamento   en venta,2950000.0,55.0,,2.0,19.4496769,-99.1909152,easyaviso,2025-05-09 13:25:53.299823,53636.36363636364
departamento en venta en la colonia juarez,3490000.0,63.0,2.0,2.0,19.4286386,-99.1718367,easyaviso,2025-05-09 13:25:53.299823,55396.8253968254
ph para estrenar con roof privado,8350000.0,143.0,2.0,2.0,19.4325050035,-99.169788212,easyaviso,2025-05-09 13:25:53.299823,58391.60839160839
para estrenar en cuauhtemoc,5750000.0,77.0,2.0,2.0,19.4325050035,-99.169788212,easyaviso,2025-05-09 13:25:53.299823,74675.32467532468
penthouse en col. roma,12200000.0,200.75,2.0,2.0,19.4286386,-99.1718367,easyaviso,2025-05-09 13:25:53.299823,60772.10460772105
deoto en venta en col. tlaxpana a 2 cuadras de metro normal,2300000.0,57.0,,2.0,19.442490161,-99.1701361018,easyaviso,2025-05-09 13:25:53.299823,40350.87719298246
departamento en be grand alto polanco venta,6200000.0,88.65,2.0,2.0,19.4426183,-99.1832529,easyaviso,2025-05-09 13:25:53.299823,69937.95826283135
napoles i cuauhtemoc cuauhtemoc cdmx,3364858.0,26.0,,,19.4262416,-99.1612501,easyaviso,2025-05-09 13:25:53.299823,129417.61538461539
en venta magnifico departamento muy cerca del angel de la independencia,6200000.0,108.58,2.0,2.0,19.4301764,-99.1687306,easyaviso,2025-05-09 13:25:53.299823,57100.755203536566
departamento a 3 cuadras de reforma,6120000.0,76.0,,2.0,19.4320759,-99.1677503,easyaviso,2025-05-09 13:25:53.299823,80526.31578947368
departamento en venta,2250000.0,58.0,2.0,2.0,19.441191,-99.173546,easyaviso,2025-05-09 13:25:53.299823,38793.10344827586
departamento en venta renacimiento cuauhtemoc2 recamaras 77m2,6000000.0,77.0,2.0,2.0,19.431691,-99.16134,easyaviso,2025-05-09 13:25:53.299823,77922.07792207792
preventa de departamentos en rio papaloapan  colonia cuauhtemoc,6431000.0,65.32,2.0,2.0,19.4295028,-99.1654324,easyaviso,2025-05-09 13:25:53.299823,98453.76607470913
bonito departamento,1860000.0,52.0,,2.0,19.4545879,-99.1519871,easyaviso,2025-05-09 13:25:53.299823,35769.230769230766
departamento en venta en rio sena,5500000.0,90.0,2.0,2.0,19.4326769,-99.1674462,easyaviso,2025-05-09 13:25:53.299823,61111.11111111111
departamento en rio tiber,5975000.0,86.0,2.0,2.0,19.4306406,-99.1695675,easyaviso,2025-05-09 13:25:53.299823,69476.74418604652
departamento en ventalaguna del carmen anahuac i secc miguel hidalgo,2054000.0,56.0,,2.0,19.4483422623,-99.1747407941,easyaviso,2025-05-09 13:25:53.299823,36678.57142857143
miguel e. schultz  san rafael  cuauhtemoc  cdmx.,8268000.0,105.0,2.0,2.0,19.4409259,-99.1596716,easyaviso,2025-05-09 13:25:53.299823,78742.85714285714
miguel e. schultz  san rafael  cuauhtemoc  cdmx.,7956000.0,100.0,,2.0,19.4409259,-99.1596716,easyaviso,2025-05-09 13:25:53.299823,79560.0
renta departamento  be grand alto polanco  mariano escobedo  anahuac,6500000.0,98.0,2.0,2.0,19.4441731,-99.1829066,easyaviso,2025-05-09 13:25:53.299823,66326.5306122449
renta departamento be grand reforma,10000000.0,85.0,2.0,2.0,19.434631,-99.1535239,easyaviso,2025-05-09 13:25:53.299823,117647.05882352941
depa en parques polanco 2 pisos en venta y renta,7350000.0,120.0,2.0,2.0,19.4404402,-99.1851841,easyaviso,2025-05-09 13:25:53.299823,61250.0
departamento en cuauhtemoc,3500000.0,77.0,,,19.4318092,-99.1670161,easyaviso,2025-05-09 13:25:53.299823,45454.545454545456
departamento en miguel hidalgo,1870000.0,60.0,,2.0,19.4452718,-99.169271,easyaviso,2025-05-09 13:25:53.299823,31166.666666666668
se vende departamento  en cdmx col san  rafael,2157000.0,28.76,,,19.3375524,-99.0476594,easyaviso,2025-05-09 13:25:53.299823,75000.0
venta garden house cuauhtemoc con balcon exterior y terraza interior,6250000.0,91.85,2.0,2.0,19.4331322,-99.1661413,easyaviso,2025-05-09 13:25:53.299823,68045.72672836146
pent house con roof garden privado 133.6m2  arq. artigas,6500000.0,133.6,,,19.4285992,-99.164416,easyaviso,2025-05-09 13:25:53.299823,48652.694610778446
vive en el corazon de la san rafael,2939821.92,40.0,,,19.3357582,-99.0478941,easyaviso,2025-05-09 13:25:53.299823,73495.548
departamentos en venta col. san rafael cuauhtemoc,5865146.0,110.0,2.0,2.0,19.4397066,-99.1614544,easyaviso,2025-05-09 13:25:53.299823,53319.509090909094
excelente oportunidad preventa departamentos  col cuauhtemoc,6500000.0,75.0,2.0,2.0,19.4311322,-99.1681413,easyaviso,2025-05-09 13:25:53.299823,86666.66666666667
departamento con roof garden privado y balcon en san rafael,5865146.0,110.0,2.0,2.0,19.4364045,-99.1650894,easyaviso,2025-05-09 13:25:53.299823,53319.509090909094
departamento en calzada manuel villalongin 200,5795400.0,96.0,,2.0,19.4335258,-99.1657307,easyaviso,2025-05-09 13:25:53.299823,60368.75
departamento en venta colonia cuauhtemoc,3321556.0,32.0,,,19.4269984,-99.1701674,easyaviso,2025-05-09 13:25:53.299823,103798.625
departamento en preventa en rio rhin cuauhtemoc,4900100.0,68.0,2.0,2.0,19.4317498,-99.1652508,easyaviso,2025-05-09 13:25:53.299823,72060.29411764706
departamento en preventa en rio rhin cuauhtemoc,6485000.0,96.0,2.0,2.0,19.4317498,-99.1652508,easyaviso,2025-05-09 13:25:53.299823,67552.08333333333
departamento en venta en distum veronica anzures,5400050.0,83.0,2.0,2.0,19.4376516,-99.1724718,easyaviso,2025-05-09 13:25:53.299823,65060.843373493975
departamento en cuauhtemoc,3490000.0,63.0,,2.0,19.4306386,-99.1698367,easyaviso,2025-05-09 13:25:53.299823,55396.8253968254
departamento en venta ritz carlton,32000000.0,117.0,2.0,2.0,19.423797,-99.1756078,easyaviso,2025-05-09 13:25:53.299823,273504.2735042735
departamento en venta o renta en ritz carlton residences reforma cuauhtemoc,15000000.0,63.0,,,19.4240425,-99.1757592,easyaviso,2025-05-09 13:25:53.299823,238095.2380952381
departamento en venta  en reforma 222,32000000.0,290.0,2.0,2.0,19.4255584,-99.1711814,easyaviso,2025-05-09 13:25:53.299823,110344.8275862069
departamento en venta con roof privado en san rafael cuauhtemoc.,6050646.0,109.0,2.0,2.0,19.4389929,-99.1635993,easyaviso,2025-05-09 13:25:53.299823,55510.51376146789
departamento en venta en cuauhtemoc ultimo precio,4700000.0,85.0,,2.0,19.4295694,-99.1650953,easyaviso,2025-05-09 13:25:53.299823,55294.117647058825
