,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT
1,departamento en venta en la cuauhtemoc  rio nilo,5600000,90,2,2,easyaviso,25:53.3,62222.22222,19.4306355,-99.1727677,CUAUHTEMOC,15-009
2,se vende departamento para remodelacion,2.00E+06,54,NA,NA,easyaviso,25:53.3,37037.03704,19.4260563,-99.1746597,CUAUHTEMOC,15-009
3,departamento en venta 2 recamaras colonia cuauhtemoc cdmx,5100000,77.4,2,2,easyaviso,25:53.3,65891.47287,19.4298408,-99.164915,CUAUHTEMOC,15-009
4,rio grijalva,7142500,70.1,2,2,easyaviso,25:53.3,101890.1569,19.4335862,-99.1698593,CUAUHTEMOC,15-009
5,departamento en venta en colonia cuauhtemoc 4940000,4940000,81,NA,2,easyaviso,25:53.3,60987.65432,19.42603127,-99.17541968,CUAUHTEMOC,15-009
6,departamento en venta en colonia cuauhtemoc 6690000,6690000,111,NA,2,easyaviso,25:53.3,60270.27027,19.42605151,-99.17548406,CUAUHTEMOC,15-009
7,moderno loft con terraza cerca del angel de la independencia,7500000,134,NA,NA,easyaviso,25:53.3,55970.14925,19.431741,-99.1652276,CUAUHTEMOC,15-009
8,venta departamento amoblado a un paso de reforma. col cuahutemoc,5100000,93,NA,NA,easyaviso,25:53.3,54838.70968,19.4253891,-99.1743424,CUAUHTEMOC,15-009
9,se vende penthouse en rio danubio cuauhtemoc.,8400000,180,NA,2,easyaviso,25:53.3,46666.66667,19.43084563,-99.16803097,CUAUHTEMOC,15-009
10,depto en pre venta guadalquivir colonia cuauhtemoc  cdmx,6.00E+06,70.1,2,2,easyaviso,25:53.3,85592.01141,19.42780191,-99.17275306,CUAUHTEMOC,15-009
11,venta departamento ph en cuauhtemoc,1.10E+07,170,2,2,easyaviso,25:53.3,64705.88235,19.4286386,-99.1718367,CUAUHTEMOC,15-009
12,departamento en venta ritz carlton reforma,17540130.88,55,NA,NA,easyaviso,25:53.3,318911.4705,19.4263694,-99.1694647,CUAUHTEMOC,15-009
13,oportunidad unica  en la cuauhtemoc b,4700000,95,2,2,easyaviso,25:53.3,49473.68421,19.4310585,-99.1726639,CUAUHTEMOC,15-009
14,departamento en venta reforma cuauhtemoc   fm273,7.00E+06,77,NA,NA,easyaviso,25:53.3,90909.09091,19.4301322,-99.1691413,CUAUHTEMOC,15-009
